Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status
						
	[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]	
1	0.1	16.586	1.6587E+05	29.75	0.076328	Dy_auto
2	0.12	17.023	1.4219E+05	29.76	0.078339	Dy_auto
3	0.143	17.658	1.2319E+05	29.77	0.081261	Dy_auto
4	0.172	18.265	1.0642E+05	29.77	0.084056	Dy_auto
5	0.205	19.274	93794	29.78	0.088696	Dy_auto
6	0.246	20.178	82015	29.79	0.092859	Dy_auto
7	0.295	21.019	71352	29.79	0.096726	Dy_auto
8	0.353	21.85	61952	29.79	0.10055	Dy_auto
9	0.422	22.7	53757	29.80	0.10447	Dy_auto
10	0.506	25.214	49870	29.80	0.11603	Dy_auto
11	0.605	25.002	41304	29.80	0.11506	Dy_auto
12	0.725	26.116	36034	29.81	0.12019	Dy_auto
13	0.868	26.36	30377	29.81	0.12131	Dy_auto
14	1.04	27.53	26498	29.81	0.12669	Dy_auto
15	1.24	29.087	23383	29.82	0.13386	Dy_auto
16	1.49	31.399	21082	29.82	0.14449	Dy_auto
17	1.78	32.306	18117	29.82	0.14867	Dy_auto
18	2.14	34.411	16117	29.83	0.15836	Dy_auto
19	2.56	36.485	14273	29.83	0.1679	Dy_auto
20	3.06	39.245	12823	29.83	0.1806	Dy_auto
21	3.66	42.064	11479	29.83	0.19358	Dy_auto
22	4.39	44.867	10226	29.83	0.20648	Dy_auto
23	5.25	48.481	9229.5	29.83	0.22311	Dy_auto
24	6.29	55.396	8807.6	29.84	0.25493	Dy_auto
25	7.53	57.044	7575.3	29.84	0.26251	Dy_auto
26	9.02	61.978	6874.2	29.84	0.28522	Dy_auto
27	10.8	75.215	6967.6	29.84	0.34613	Dy_auto
28	12.9	98.894	7651.4	29.84	0.45511	Dy_auto
29	15.5	106.2	6863.5	29.84	0.48874	Dy_auto
30	18.5	216.44	11682	29.84	0.99603	Dy_auto
31	22.2	152.33	6868.1	29.84	0.70103	Dy_auto
32	26.6	134.01	5045.3	29.84	0.61672	Dy_auto
33	31.8	122.33	3847	29.84	0.56298	Dy_auto
34	38.1	150.96	3965.1	29.84	0.6947	Dy_auto
35	45.6	177.92	3902.5	29.85	0.81878	Dy_auto
36	54.6	214.15	3923.6	29.85	0.98548	Dy_auto
37	65.3	237.99	3642.1	29.85	1.0952	Dy_auto
38	78.2	266.67	3408.6	29.85	1.2272	Dy_auto
39	93.7	272.49	2909.1	29.85	1.254	Dy_auto
40	112	321.62	2867.7	29.85	1.4801	Dy_auto
41	134	341.57	2543.7	29.85	1.5719	Dy_auto
42	161	512.09	3185.2	29.85	2.3566	Dy_auto
43	193	725.39	3768.1	29.86	3.3382	Dy_auto
44	230	1935.1	8395.6	29.86	8.9052	Dy_auto
45	276	3468.6	12567	29.87	15.962	Dy_auto
46	330	5026.7	15212	29.88	23.133	Dy_auto
47	396	5753.6	14547	29.90	26.478	Dy_auto
48	474	6619.3	13977	29.92	30.462	Dy_auto
49	567	7474.3	13180	29.95	34.396	Dy_auto
50	679	8150.2	12003	29.98	37.507	Dy_auto
51	813	8641	10630	30.01	39.766	Dy_auto
52	973	8849.9	9093.4	30.05	40.727	Dy_auto
53	1.17E+03	5188.6	4449.9	30.09	23.877	Dy_auto
54	1.4E+03	1723.5	1234.7	30.09	7.9313	Dy_auto
55	1.67E+03	1150.3	688.54	30.02	5.2935	Dy_auto
56	2E+03	1535.2	767.59	29.92	7.0649	Dy_auto
