Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status
						
	[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]	
1	0.1	0.57511	5752.1	19.50	0.0026466	Dy_auto
2	0.12	0.63581	5311.3	19.54	0.002926	Dy_auto
3	0.143	0.70492	4918	19.59	0.003244	Dy_auto
4	0.172	0.78243	4559.1	19.63	0.0036007	Dy_auto
5	0.205	0.86758	4222.1	19.67	0.0039926	Dy_auto
6	0.246	0.96629	3927.6	19.70	0.0044468	Dy_auto
7	0.295	1.0721	3639.4	19.73	0.0049337	Dy_auto
8	0.353	1.1953	3389	19.75	0.0055007	Dy_auto
9	0.422	1.3357	3163	19.78	0.0061467	Dy_auto
10	0.506	1.4972	2961.3	19.80	0.0068899	Dy_auto
11	0.605	1.6788	2773.2	19.82	0.0077256	Dy_auto
12	0.725	1.888	2604.9	19.83	0.0086883	Dy_auto
13	0.868	2.1223	2445.7	19.84	0.0097667	Dy_auto
14	1.04	2.392	2302.2	19.85	0.011008	Dy_auto
15	1.24	2.6972	2168.3	19.86	0.012413	Dy_auto
16	1.49	3.052	2049.2	19.88	0.014045	Dy_auto
17	1.78	3.4524	1936	19.88	0.015888	Dy_auto
18	2.14	3.9413	1846	19.89	0.018137	Dy_auto
19	2.56	4.4959	1758.8	19.90	0.02069	Dy_auto
20	3.06	5.1436	1680.6	19.90	0.023671	Dy_auto
21	3.66	5.8925	1608	19.91	0.027117	Dy_auto
22	4.39	6.7599	1540.7	19.91	0.031109	Dy_auto
23	5.25	7.7583	1476.9	19.91	0.035703	Dy_auto
24	6.29	8.9267	1419.3	19.92	0.04108	Dy_auto
25	7.53	10.296	1367.3	19.92	0.047381	Dy_auto
26	9.02	11.867	1316.3	19.93	0.054613	Dy_auto
27	10.8	13.607	1260.5	19.94	0.062617	Dy_auto
28	12.9	15.816	1223.7	19.95	0.072785	Dy_auto
29	15.5	18.456	1192.7	19.96	0.084934	Dy_auto
30	18.5	21.622	1167	19.96	0.099502	Dy_auto
31	22.2	25.563	1152.4	19.96	0.11764	Dy_auto
32	26.6	30.736	1157.3	19.96	0.14144	Dy_auto
33	31.8	38.198	1201.2	19.96	0.17578	Dy_auto
34	38.1	51.23	1345.6	19.96	0.23576	Dy_auto
35	45.6	92.955	2039.2	19.96	0.42777	Dy_auto
36	54.6	216.96	3975.2	19.96	0.99845	Dy_auto
37	65.3	410.1	6276.1	19.96	1.8873	Dy_auto
38	78.2	662.84	8472	19.96	3.0503	Dy_auto
39	93.7	966.65	10320	19.96	4.4484	Dy_auto
40	112	1351.9	12053	19.97	6.2212	Dy_auto
41	134	1814	13508	19.97	8.3479	Dy_auto
42	161	2343.8	14578	19.98	10.786	Dy_auto
43	193	2966.2	15408	19.99	13.65	Dy_auto
44	230	3652.8	15851	20.00	16.81	Dy_auto
45	276	4438.1	16083	20.01	20.424	Dy_auto
46	330	5325.7	16121	20.01	24.508	Dy_auto
47	396	6326.1	15990	20.02	29.112	Dy_auto
48	474	7408.7	15645	20.03	34.094	Dy_auto
49	567	8353.5	14738	20.04	38.442	Dy_auto
50	679	9354.2	13783	20.06	43.048	Dy_auto
51	812	10570	13009	20.08	48.641	Dy_auto
52	973	11740	12065	20.11	54.028	Dy_auto
53	1.17E+03	12403	10645	20.15	57.076	Dy_auto
54	1.4E+03	13840	9909.5	20.20	63.691	Dy_auto
55	1.67E+03	15549	9318.9	20.26	71.558	Dy_auto
56	2.01E+03	14755	7352.6	20.33	67.9	Dy_auto
