 Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status
						
	[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]	
1	0.1	0.40195	4020.3	29.82	0.0018497	Dy_auto
2	0.12	0.44142	3687.4	29.83	0.0020314	Dy_auto
3	0.143	0.48255	3366.5	29.83	0.0022207	Dy_auto
4	0.172	0.53001	3088.2	29.84	0.0024391	Dy_auto
5	0.205	0.58517	2847.7	29.85	0.0026929	Dy_auto
6	0.246	0.64563	2624.1	29.85	0.0029711	Dy_auto
7	0.295	0.71319	2421.1	29.86	0.0032821	Dy_auto
8	0.353	0.78926	2237.9	29.86	0.0036321	Dy_auto
9	0.422	0.87764	2078.4	29.86	0.0040388	Dy_auto
10	0.506	0.97658	1931.5	29.87	0.0044942	Dy_auto
11	0.605	1.0915	1803.2	29.87	0.0050232	Dy_auto
12	0.725	1.2223	1686.5	29.87	0.0056248	Dy_auto
13	0.868	1.3696	1578.3	29.87	0.006303	Dy_auto
14	1.04	1.5369	1479.3	29.88	0.0070729	Dy_auto
15	1.24	1.7323	1392.6	29.88	0.0079721	Dy_auto
16	1.49	1.9514	1310.2	29.88	0.0089801	Dy_auto
17	1.78	2.1991	1233.2	29.88	0.01012	Dy_auto
18	2.14	2.4896	1166.1	29.88	0.011457	Dy_auto
19	2.56	2.8241	1104.8	29.88	0.012997	Dy_auto
20	3.06	3.2116	1049.4	29.89	0.01478	Dy_auto
21	3.66	3.6531	996.91	29.89	0.016812	Dy_auto
22	4.39	4.1687	950.11	29.89	0.019184	Dy_auto
23	5.25	4.7686	907.79	29.89	0.021945	Dy_auto
24	6.29	5.4769	870.82	29.89	0.025204	Dy_auto
25	7.53	6.2895	835.23	29.89	0.028944	Dy_auto
26	9.02	7.2231	801.15	29.89	0.03324	Dy_auto
27	10.8	8.3411	772.71	29.89	0.038385	Dy_auto
28	12.9	9.6098	743.55	29.89	0.044224	Dy_auto
29	15.5	11.145	720.19	29.89	0.051287	Dy_auto
30	18.5	12.801	690.92	29.89	0.058909	Dy_auto
31	22.2	14.89	671.25	29.90	0.068523	Dy_auto
32	26.6	17.401	655.16	29.90	0.080077	Dy_auto
33	31.8	20.444	642.91	29.90	0.094082	Dy_auto
34	38.1	24.202	635.67	29.90	0.11138	Dy_auto
35	45.6	29.041	637.09	29.90	0.13365	Dy_auto
36	54.6	35.734	654.72	29.90	0.16445	Dy_auto
37	65.3	46.248	707.74	29.90	0.21283	Dy_auto
38	78.2	68.104	870.45	29.90	0.31341	Dy_auto
39	93.7	130.64	1394.6	29.90	0.60121	Dy_auto
40	112	258.17	2301.9	29.90	1.1881	Dy_auto
41	134	437.09	3254.8	29.90	2.0115	Dy_auto
42	161	665.82	4141.3	29.90	3.0641	Dy_auto
43	193	948.26	4925.6	29.90	4.3638	Dy_auto
44	230	1298.7	5634.7	29.90	5.9765	Dy_auto
45	276	1726.7	6257.6	29.90	7.9462	Dy_auto
46	330	2233.4	6759.5	29.90	10.278	Dy_auto
47	396	2769.7	7002.7	29.91	12.746	Dy_auto
48	474	3100.3	6547.2	29.91	14.267	Dy_auto
49	567	3774.6	6657.9	29.92	17.371	Dy_auto
50	679	4577	6742	29.93	21.063	Dy_auto
51	813	3564.9	4384.2	29.94	16.406	Dy_auto
52	973	2534.4	2603.6	29.95	11.663	Dy_auto
53	1.17E+03	1214.1	1041.6	29.95	5.5872	Dy_auto
54	1.4E+03	534.23	382.8	29.93	2.4585	Dy_auto
55	1.67E+03	438.2	262.37	29.91	2.0166	Dy_auto
56	2E+03	561.43	280.75	29.89	2.5837	Dy_auto
