Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status
						
	[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]	
1	0.1	0.35163	3517	39.89	0.0016182	Dy_auto
2	0.12	0.38157	3187.7	39.90	0.001756	Dy_auto
3	0.143	0.41374	2886.6	39.90	0.001904	Dy_auto
4	0.172	0.45302	2639.6	39.91	0.0020847	Dy_auto
5	0.205	0.4946	2406.9	39.92	0.0022761	Dy_auto
6	0.246	0.54279	2206.2	39.92	0.0024979	Dy_auto
7	0.295	0.59587	2022.8	39.92	0.0027422	Dy_auto
8	0.353	0.65623	1860.6	39.93	0.0030199	Dy_auto
9	0.422	0.72298	1712.1	39.93	0.0033271	Dy_auto
10	0.506	0.79877	1579.9	39.93	0.0036759	Dy_auto
11	0.605	0.88485	1461.7	39.93	0.004072	Dy_auto
12	0.725	0.98453	1358.4	39.94	0.0045307	Dy_auto
13	0.868	1.0931	1259.7	39.94	0.0050304	Dy_auto
14	1.04	1.2208	1175	39.94	0.005618	Dy_auto
15	1.24	1.3671	1099	39.95	0.0062914	Dy_auto
16	1.49	1.5302	1027.4	39.95	0.0070421	Dy_auto
17	1.78	1.722	965.69	39.95	0.0079247	Dy_auto
18	2.14	1.9482	912.49	39.95	0.0089654	Dy_auto
19	2.56	2.2064	863.13	39.95	0.010154	Dy_auto
20	3.06	2.5002	816.92	39.96	0.011506	Dy_auto
21	3.66	2.8258	771.15	39.96	0.013004	Dy_auto
22	4.39	3.1994	729.22	39.96	0.014723	Dy_auto
23	5.25	3.6402	692.98	39.95	0.016752	Dy_auto
24	6.29	4.1736	663.58	39.95	0.019206	Dy_auto
25	7.53	4.7779	634.5	39.96	0.021988	Dy_auto
26	9.02	5.4421	603.61	39.97	0.025044	Dy_auto
27	10.8	6.2825	581.99	39.97	0.028912	Dy_auto
28	12.9	7.2038	557.38	39.96	0.033151	Dy_auto
29	15.5	8.3428	539.14	39.96	0.038393	Dy_auto
30	18.5	9.6024	518.29	39.96	0.04419	Dy_auto
31	22.2	11.071	499.11	39.96	0.05095	Dy_auto
32	26.6	12.718	478.84	39.97	0.058527	Dy_auto
33	31.8	14.777	464.7	39.97	0.068004	Dy_auto
34	38.1	17.24	452.81	39.97	0.079339	Dy_auto
35	45.6	20.184	442.8	39.97	0.092886	Dy_auto
36	54.6	23.847	436.93	39.97	0.10974	Dy_auto
37	65.3	28.538	436.73	39.97	0.13133	Dy_auto
38	78.2	34.894	446	39.96	0.16058	Dy_auto
39	93.7	44.572	475.83	39.97	0.20512	Dy_auto
40	112	62.955	561.33	39.97	0.28972	Dy_auto
41	134	110.14	820.17	39.97	0.50685	Dy_auto
42	161	211.73	1316.9	39.97	0.97436	Dy_auto
43	193	369.72	1920.5	39.97	1.7014	Dy_auto
44	230	583.98	2533.7	39.97	2.6874	Dy_auto
45	276	864.62	3133	39.97	3.979	Dy_auto
46	330	1213.7	3673.3	39.97	5.5855	Dy_auto
47	396	1601.9	4049.6	39.97	7.3719	Dy_auto
48	474	2103.3	4441.4	39.98	9.6793	Dy_auto
49	567	2704.9	4770.6	39.98	12.448	Dy_auto
50	679	3334	4910.4	39.99	15.343	Dy_auto
51	813	3964.2	4875.8	40.00	18.243	Dy_auto
52	973	4802.6	4933.9	40.00	22.101	Dy_auto
53	1.17E+03	4634.6	3974.9	40.01	21.328	Dy_auto
54	1.4E+03	5778.4	4141.8	40.02	26.592	Dy_auto
55	1.67E+03	6622.6	3962.7	40.03	30.477	Dy_auto
56	1.99E+03	438.07	219.63	40.05	2.016	Dy_auto
