Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status
						
	[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]	
1	0.1	13.873	1.3874E+05	25.00	0.063842	Dy_auto
2	0.12	14.347	1.1984E+05	25.00	0.066025	Dy_auto
3	0.143	14.71	1.0262E+05	25.00	0.067696	Dy_auto
4	0.172	15.336	89360	25.00	0.070577	Dy_auto
5	0.205	15.898	77366	25.00	0.073163	Dy_auto
6	0.246	16.223	65940	25.00	0.074659	Dy_auto
7	0.295	16.869	57263	25.00	0.077629	Dy_auto
8	0.353	17.852	50621	25.00	0.082155	Dy_auto
9	0.422	18.786	44486	25.00	0.086451	Dy_auto
10	0.506	19.685	38934	25.00	0.090589	Dy_auto
11	0.605	20.522	33901	25.00	0.094443	Dy_auto
12	0.725	21.486	29646	25.00	0.098879	Dy_auto
13	0.868	22.797	26271	25.00	0.10491	Dy_auto
14	1.04	23.79	22897	25.00	0.10948	Dy_auto
15	1.24	25.609	20588	25.00	0.11785	Dy_auto
16	1.49	26.816	18005	25.00	0.12341	Dy_auto
17	1.78	28.63	16055	25.00	0.13175	Dy_auto
18	2.14	30.756	14405	25.00	0.14154	Dy_auto
19	2.56	32.893	12868	25.00	0.15137	Dy_auto
20	3.06	35.239	11514	25.00	0.16217	Dy_auto
21	3.66	37.749	10301	25.00	0.17372	Dy_auto
22	4.39	40.754	9289	25.00	0.18755	Dy_auto
23	5.25	44.699	8509.2	25.00	0.2057	Dy_auto
24	6.29	47.998	7631.8	25.00	0.22089	Dy_auto
25	7.53	52.445	6964.7	25.00	0.24135	Dy_auto
26	9.02	57.198	6344	25.00	0.26322	Dy_auto
27	10.8	65.493	6067.4	25.00	0.3014	Dy_auto
28	12.9	69.157	5351	25.00	0.31826	Dy_auto
29	15.5	76.265	4928.5	25.00	0.35097	Dy_auto
30	18.5	85.462	4612.6	25.00	0.39329	Dy_auto
31	22.2	124.35	5604.9	25.00	0.57225	Dy_auto
32	26.6	113.78	4283.9	25.00	0.52359	Dy_auto
33	31.8	142.77	4490.4	25.00	0.657	Dy_auto
34	38.1	156.72	4116.9	25.00	0.72123	Dy_auto
35	45.6	169.66	3722	25.00	0.78077	Dy_auto
36	54.6	223.17	4088	25.00	1.027	Dy_auto
37	65.3	229.22	3507.7	25.00	1.0549	Dy_auto
38	78.2	255.73	3268.6	25.00	1.1768	Dy_auto
39	93.7	292.49	3122.5	25.00	1.346	Dy_auto
40	112	322.22	2873.1	25.00	1.4828	Dy_auto
41	134	398.54	2968	25.00	1.8341	Dy_auto
42	161	451.43	2807.9	25.00	2.0775	Dy_auto
43	192	681.28	3539.2	25.00	3.1352	Dy_auto
44	230	1013.6	4398	25.01	4.6643	Dy_auto
45	276	3526.1	12779	25.01	16.227	Dy_auto
46	330	6722.4	20342	25.02	30.936	Dy_auto
47	396	9560.9	24170	25.05	43.999	Dy_auto
48	474	10646	22476	25.09	48.993	Dy_auto
49	567	12369	21812	25.14	56.923	Dy_auto
50	679	13394	19731	25.20	61.638	Dy_auto
51	813	13830	17016	25.25	63.646	Dy_auto
52	974	11101	11401	25.31	51.085	Dy_auto
53	1.17E+03	4327.5	3711.6	25.34	19.915	Dy_auto
54	1.4E+03	1675.5	1200.4	25.28	7.7106	Dy_auto
55	1.67E+03	1045.2	625.69	25.15	4.8099	Dy_auto
56	2E+03	1406.7	703.46	25.02	6.4736	Dy_auto
