Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status
						
	[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]	
1	0.1	17.394	1.7396E+05	29.91	0.080045	Dy_auto
2	0.12	18.468	1.5426E+05	29.93	0.084988	Dy_auto
3	0.143	19.303	1.3467E+05	29.94	0.088833	Dy_auto
4	0.172	20.04	1.1676E+05	29.95	0.092224	Dy_auto
5	0.205	20.702	1.0075E+05	29.95	0.09527	Dy_auto
6	0.246	21.444	87158	29.95	0.098684	Dy_auto
7	0.295	22.38	75972	29.96	0.10299	Dy_auto
8	0.353	22.822	64706	29.96	0.10502	Dy_auto
9	0.422	23.548	55767	29.97	0.10837	Dy_auto
10	0.506	24.61	48677	29.97	0.11325	Dy_auto
11	0.605	25.867	42733	29.97	0.11904	Dy_auto
12	0.725	26.601	36704	29.97	0.12242	Dy_auto
13	0.868	28.139	32427	29.97	0.12949	Dy_auto
14	1.04	29.375	28273	29.98	0.13518	Dy_auto
15	1.24	30.688	24670	29.98	0.14123	Dy_auto
16	1.49	32.209	21626	29.98	0.14822	Dy_auto
17	1.78	34.093	19119	29.98	0.1569	Dy_auto
18	2.14	36.231	16970	29.99	0.16674	Dy_auto
19	2.56	38.555	15082	29.99	0.17743	Dy_auto
20	3.06	41.276	13486	29.99	0.18995	Dy_auto
21	3.66	44.357	12105	29.99	0.20413	Dy_auto
22	4.39	48.387	11029	29.99	0.22267	Dy_auto
23	5.25	52.034	9905.4	29.99	0.23946	Dy_auto
24	6.29	55.805	8873	29.99	0.25681	Dy_auto
25	7.53	60.046	7973.8	29.99	0.27633	Dy_auto
26	9.02	65.171	7228.6	29.99	0.29991	Dy_auto
27	10.8	72.749	6740.5	29.99	0.33479	Dy_auto
28	12.9	78.832	6099.3	29.99	0.36278	Dy_auto
29	15.5	84.383	5453.1	29.99	0.38833	Dy_auto
30	18.5	95.055	5130.6	29.99	0.43744	Dy_auto
31	22.2	112.17	5055.7	29.99	0.51622	Dy_auto
32	26.6	184.99	6966.1	29.99	0.8513	Dy_auto
33	31.8	127.48	4009.1	29.99	0.58667	Dy_auto
34	38.1	142.59	3745.1	29.99	0.65618	Dy_auto
35	45.6	162.44	3563.4	29.99	0.74753	Dy_auto
36	54.6	190.56	3491.1	29.99	0.87696	Dy_auto
37	65.3	231.22	3539	29.99	1.0641	Dy_auto
38	78.3	254.94	3257.9	29.99	1.1732	Dy_auto
39	93.7	263.16	2809.4	29.99	1.2111	Dy_auto
40	112	297.41	2651.7	29.99	1.3687	Dy_auto
41	134	347.56	2588.1	29.99	1.5994	Dy_auto
42	161	386.14	2401.7	29.99	1.777	Dy_auto
43	192	462.85	2404.5	29.99	2.13	Dy_auto
44	230	569.53	2470.9	29.99	2.621	Dy_auto
45	276	1031.3	3737.6	29.99	4.7461	Dy_auto
46	330	1921.3	5815.1	29.99	8.8416	Dy_auto
47	396	4758.3	12028	30.00	21.898	Dy_auto
48	474	6216.6	13126	30.02	28.609	Dy_auto
49	567	8268.1	14582	30.06	38.049	Dy_auto
50	679	9414.8	13865	30.10	43.327	Dy_auto
51	813	9619.3	11832	30.15	44.267	Dy_auto
52	974	3615.3	3712.3	30.19	16.638	Dy_auto
53	1.17E+03	1252.1	1074.1	30.17	5.7621	Dy_auto
54	1.4E+03	851.45	610.27	30.07	3.9183	Dy_auto
55	1.67E+03	1112.1	665.77	29.98	5.118	Dy_auto
56	2E+03	1436.7	718.41	29.92	6.6115	Dy_auto
