Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status
						
	[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]	
1	0.1	2.6654	26658	29.94	0.012266	Dy_auto
2	0.12	2.8217	23571	29.95	0.012985	Dy_auto
3	0.143	2.9921	20875	29.96	0.01377	Dy_auto
4	0.172	3.1768	18510	29.96	0.014619	Dy_auto
5	0.205	3.3766	16432	29.97	0.015539	Dy_auto
6	0.246	3.5947	14610	29.97	0.016542	Dy_auto
7	0.295	3.8453	13054	29.98	0.017696	Dy_auto
8	0.353	4.1135	11663	29.98	0.01893	Dy_auto
9	0.422	4.4118	10448	29.99	0.020303	Dy_auto
10	0.506	4.7204	9336.5	29.99	0.021723	Dy_auto
11	0.605	5.0859	8401.7	29.99	0.023405	Dy_auto
12	0.725	5.4845	7567.2	29.99	0.025239	Dy_auto
13	0.868	5.9418	6847.2	29.99	0.027344	Dy_auto
14	1.04	6.4465	6204.8	29.99	0.029666	Dy_auto
15	1.24	7.0241	5646.7	30.00	0.032325	Dy_auto
16	1.49	7.6661	5147.2	30.00	0.035279	Dy_auto
17	1.78	8.3612	4688.8	30.00	0.038478	Dy_auto
18	2.14	9.1	4262.2	30.00	0.041878	Dy_auto
19	2.56	9.9544	3894.1	30.00	0.04581	Dy_auto
20	3.06	10.899	3561	30.00	0.050156	Dy_auto
21	3.66	12.07	3293.8	30.00	0.055545	Dy_auto
22	4.39	13.448	3065.1	30.00	0.061886	Dy_auto
23	5.25	15.121	2878.6	30.00	0.069586	Dy_auto
24	6.29	16.673	2651	30.00	0.076727	Dy_auto
25	7.53	18.561	2464.9	30.00	0.085417	Dy_auto
26	9.02	21.09	2339.1	30.00	0.097053	Dy_auto
27	10.8	22.612	2094.8	30.00	0.10406	Dy_auto
28	12.9	24.954	1930.8	30.00	0.11484	Dy_auto
29	15.5	28.928	1869.5	30.00	0.13313	Dy_auto
30	18.5	33.568	1811.7	30.00	0.15448	Dy_auto
31	22.2	39.138	1764.4	30.00	0.18011	Dy_auto
32	26.6	44.052	1658.6	30.00	0.20273	Dy_auto
33	31.8	48.886	1537.3	30.00	0.22497	Dy_auto
34	38.1	57.283	1504.5	30.00	0.26361	Dy_auto
35	45.6	63.495	1392.9	30.00	0.2922	Dy_auto
36	54.6	75.693	1386.9	30.00	0.34833	Dy_auto
37	65.3	92.819	1420.4	30.00	0.42715	Dy_auto
38	78.2	134.82	1723.1	30.00	0.62042	Dy_auto
39	93.7	943.97	10077	30.00	4.3441	Dy_auto
40	112	2179.3	19430	30.00	10.029	Dy_auto
41	134	3592.4	26749	30.01	16.532	Dy_auto
42	161	5285.3	32873	30.01	24.323	Dy_auto
43	193	7270.8	37767	30.02	33.46	Dy_auto
44	230	9026.5	39167	30.03	41.539	Dy_auto
45	276	10514	38105	30.04	48.383	Dy_auto
46	330	11797	35709	30.06	54.287	Dy_auto
47	396	13474	34053	30.08	62.005	Dy_auto
48	474	5795.6	12226	30.10	26.671	Dy_auto
49	568	9116	16047	30.10	41.951	Dy_auto
50	679	4508.9	6644.8	30.09	20.75	Dy_auto
51	813	1501	1846.8	30.08	6.9077	Dy_auto
52	973	1989.8	2044.7	30.06	9.1571	Dy_auto
53	1.17E+03	1958.2	1680.5	30.04	9.0116	Dy_auto
54	1.4E+03	1663.3	1192	30.03	7.6542	Dy_auto
55	1.67E+03	355.01	212.52	30.02	1.6337	Dy_auto
56	2E+03	243.31	121.65	30.02	1.1197	Dy_auto
