Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status
						
	[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]	
1	0.1	0.38134	3813.8	28.65	0.0017549	Dy_auto
2	0.12	0.41323	3452.2	32.15	0.0019017	Dy_auto
3	0.143	0.47044	3282.2	30.94	0.0021649	Dy_auto
4	0.172	0.52792	3076.1	29.42	0.0024294	Dy_auto
5	0.205	0.58768	2859.9	28.87	0.0027045	Dy_auto
6	0.246	0.64835	2635.2	28.89	0.0029837	Dy_auto
7	0.295	0.71578	2429.9	29.09	0.003294	Dy_auto
8	0.353	0.79446	2252.5	29.27	0.0036561	Dy_auto
9	0.422	0.88152	2087.5	29.38	0.0040567	Dy_auto
10	0.506	0.98323	1944.7	29.46	0.0045248	Dy_auto
11	0.605	1.0997	1816.7	29.52	0.0050609	Dy_auto
12	0.725	1.2391	1709.7	29.57	0.0057024	Dy_auto
13	0.868	1.3747	1584.2	29.63	0.0063261	Dy_auto
14	1.04	1.562	1503.4	29.67	0.0071884	Dy_auto
15	1.24	1.77	1422.8	29.71	0.0081453	Dy_auto
16	1.49	2.0116	1350.7	29.75	0.0092574	Dy_auto
17	1.78	2.2927	1285.7	29.78	0.010551	Dy_auto
18	2.14	2.6201	1227.2	29.80	0.012057	Dy_auto
19	2.56	2.9988	1173.1	29.83	0.0138	Dy_auto
20	3.06	3.4247	1119	29.85	0.01576	Dy_auto
21	3.66	3.9343	1073.6	29.86	0.018105	Dy_auto
22	4.39	4.5298	1032.5	29.88	0.020846	Dy_auto
23	5.25	5.2219	994.07	29.90	0.024031	Dy_auto
24	6.29	6.0355	959.64	29.91	0.027775	Dy_auto
25	7.53	6.9796	926.87	29.91	0.03212	Dy_auto
26	9.02	8.127	901.4	29.93	0.0374	Dy_auto
27	10.8	9.437	874.22	29.94	0.043428	Dy_auto
28	12.9	11.012	852.04	29.94	0.050677	Dy_auto
29	15.5	12.828	828.99	29.95	0.059034	Dy_auto
30	18.5	15.122	816.18	29.96	0.06959	Dy_auto
31	22.2	18.05	813.7	29.96	0.083065	Dy_auto
32	26.6	21.829	821.91	29.97	0.10046	Dy_auto
33	31.8	27.274	857.7	29.97	0.12551	Dy_auto
34	38.1	36.199	950.77	29.97	0.16658	Dy_auto
35	45.6	59.233	1299.4	29.98	0.27259	Dy_auto
36	54.6	167.43	3067.5	29.98	0.77048	Dy_auto
37	65.4	380.53	5822.9	29.98	1.7512	Dy_auto
38	78.2	677.55	8659.6	29.99	3.118	Dy_auto
39	93.7	1067.1	11390	29.99	4.9105	Dy_auto
40	112	1515.2	13511	29.99	6.9729	Dy_auto
41	134	2058.5	15329	30.00	9.473	Dy_auto
42	161	2743.7	17065	30.00	12.626	Dy_auto
43	193	3537.5	18377	30.00	16.28	Dy_auto
44	230	4448.7	19301	30.01	20.473	Dy_auto
45	276	5165.2	18720	30.02	23.77	Dy_auto
46	330	5781	17498	30.03	26.604	Dy_auto
47	395	6644	16801	30.04	30.575	Dy_auto
48	474	7250.1	15310	30.05	33.364	Dy_auto
49	567	7857.4	13859	30.07	36.16	Dy_auto
50	679	8420.6	12405	30.10	38.751	Dy_auto
51	813	8658.7	10654	30.12	39.847	Dy_auto
52	975	3370.4	3458.1	30.16	15.51	Dy_auto
53	1.17E+03	828.35	710.73	30.15	3.812	Dy_auto
54	1.4E+03	14.751	10.573	30.09	0.067885	Dy_auto
55	1.67E+03	23.662	14.165	30.04	0.10889	Dy_auto
56	2E+03	0.42087	0.21044	30.01	0.0019368	Dy_auto
