Point No.,Shear Rate,Viscosity,Temperature,Particle Size
1,0.1,1.60E+05,19.93,100
2,0.12,1.38E+05,19.93,100
3,0.143,1.19E+05,19.93,100
4,0.172,1.03E+05,19.93,100
5,0.205,89444,19.94,100
6,0.246,77434,19.94,100
7,0.295,66463,19.95,100
8,0.353,57883,19.95,100
9,0.422,50995,19.95,100
10,0.506,44382,19.95,100
11,0.605,38875,19.95,100
12,0.725,33822,19.95,100
13,0.868,29800,19.95,100
14,1.04,26095,19.95,100
15,1.24,23295,19.95,100
16,1.49,20635,19.95,100
17,1.78,18295,19.95,100
18,2.13,16114,19.96,100
19,2.56,14367,19.96,100
20,3.06,12898,19.96,100
21,3.66,11779,19.96,100
22,4.39,10404,19.96,100
23,5.25,9437.4,19.96,100
24,6.29,8653.3,19.96,100
25,7.53,7794,19.96,100
26,9.02,7153.6,19.96,100
27,10.8,6735.5,19.96,100
28,12.9,6984.5,19.96,100
29,15.5,7489.7,19.97,100
30,18.5,5945,19.97,100
31,22.2,5390.5,19.97,100
32,26.6,5240.3,19.97,100
33,31.8,5206.9,19.97,100
34,38.1,5100.6,19.97,100
35,45.6,4795.3,19.97,100
36,54.6,4557.9,19.97,100
37,65.3,4553,19.97,100
38,78.2,4414,19.98,100
39,93.7,4689.4,19.98,100
40,112,6925.7,19.98,100
41,134,15792,19.99,100
42,161,25827,19.99,100
43,193,31953,20,100
44,230,33563,20.02,100
45,276,33968,20.04,100
46,330,32857,20.06,100
47,396,30563,20.09,100
48,474,27524,20.12,100
49,567,24530,20.15,100
50,679,21693,20.19,100
51,813,18897,20.24,100
52,973,16203,20.29,100
53,1.17E+03,13023,20.36,100
54,1.40E+03,9586.4,20.43,100
55,1.67E+03,4488.1,20.48,100
56,0.1,1.73E+05,30,100
57,0.12,1.49E+05,30,100
58,0.143,1.27E+05,30,100
59,0.172,1.10E+05,30.01,100
60,0.205,95090,30.01,100
61,0.246,81785,30.01,100
62,0.295,70270,30,100
63,0.353,60901,30.01,100
64,0.422,53546,30.01,100
65,0.506,46438,30,100
66,0.605,40236,30,100
67,0.725,35259,30.01,100
68,0.868,30822,30.01,100
69,1.04,26970,30.01,100
70,1.24,23743,30,100
71,1.49,20874,30,100
72,1.78,18443,30,100
73,2.14,16331,30,100
74,2.56,14514,30,100
75,3.06,12914,30,100
76,3.66,11492,30,100
77,4.39,10340,30,100
78,5.25,9314.9,30,100
79,6.29,8349.4,30,100
80,7.53,7537.6,30,100
81,9.02,6833.5,30,100
82,10.8,6213.7,30,100
83,12.9,5665,30,100
84,15.5,5226.6,30,100
85,18.5,4828.7,30,100
86,22.2,4507.1,30,100
87,26.6,4301.8,30,100
88,31.8,4025,30,100
89,38.1,4353.6,30,100
90,45.6,3686.5,30,100
91,54.6,3776.3,30,100
92,65.3,3588.1,30,100
93,78.2,3456,30,100
94,93.7,3304.8,30,100
95,112,3073.8,30,100
96,134,3324.3,30,100
97,161,3697.4,30,100
98,193,6727.7,30.01,100
99,231,12905,30.01,100
100,276,17295,30.02,100
101,330,17686,30.04,100
102,396,17824,30.06,100
103,474,17182,30.09,100
104,567,16015,30.12,100
105,679,14580,30.16,100
106,813,12928,30.2,100
107,973,10918,30.25,100
108,1.17E+03,6213.3,30.31,100
109,1.40E+03,1847.2,30.34,100
110,1.67E+03,834.11,30.28,100
111,2.00E+03,728.13,30.18,100
112,0.1,1.89E+05,40,100
113,0.12,1.63E+05,40,100
114,0.143,1.39E+05,40,100
