Shear Rate,Viscosity,Particle Size,Temperature,Temperature-(T')
0.1,1.60E+05,100,20,19.93
0.12,1.38E+05,100,20,19.93
0.143,1.19E+05,100,20,19.93
0.172,1.03E+05,100,20,19.93
0.205,89444,100,20,19.94
0.246,77434,100,20,19.94
0.295,66463,100,20,19.95
0.353,57883,100,20,19.95
0.422,50995,100,20,19.95
0.506,44382,100,20,19.95
0.605,38875,100,20,19.95
0.725,33822,100,20,19.95
0.868,29800,100,20,19.95
1.04,26095,100,20,19.95
1.24,23295,100,20,19.95
1.49,20635,100,20,19.95
1.78,18295,100,20,19.95
2.13,16114,100,20,19.96
2.56,14367,100,20,19.96
3.06,12898,100,20,19.96
3.66,11779,100,20,19.96
4.39,10404,100,20,19.96
5.25,9437.4,100,20,19.96
6.29,8653.3,100,20,19.96
7.53,7794,100,20,19.96
9.02,7153.6,100,20,19.96
10.8,6735.5,100,20,19.96
12.9,6984.5,100,20,19.96
15.5,7789.7,100,20,19.97
18.5,5945,100,20,19.97
22.2,5390.5,100,20,19.97
26.6,5240.3,100,20,19.97
31.8,5206.9,100,20,19.97
38.1,5100.6,100,20,19.97
45.6,4795.3,100,20,19.97
54.6,4557.9,100,20,19.97
65.3,4553,100,20,19.97
78.2,4414,100,20,19.98
93.7,4689.4,100,20,19.98
112,6925.7,100,20,19.98
134,15792,100,20,19.99
161,25827,100,20,19.99
193,31953,100,20,20
230,33563,100,20,20.02
276,33968,100,20,20.04
330,32857,100,20,20.06
396,30563,100,20,20.09
474,27524,100,20,20.12
567,24530,100,20,20.15
679,21693,100,20,20.19
813,18897,100,20,20.24
973,16203,100,20,20.29
1.17E+03,13023,100,20,20.36
1.40E+03,9586.4,100,20,20.43
1.67E+03,4488.1,100,20,20.48
2.01E+03,4636.1,100,20,20.44
0.1,37175,300,20,19.96
0.12,32841,300,20,19.97
0.143,28943,300,20,19.97
0.172,25642,300,20,19.98
0.205,22720,300,20,19.98
0.246,20134,300,20,19.98
0.295,17906,300,20,19.98
0.353,16047,300,20,19.98
0.422,14371,300,20,19.99
